Title,Company,Experience,Location,URL,Skills,Logo
"Software Trainee, Software Developer, Software Tester",Quickxpert Infotech,0-4 Yrs,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",https://www.naukri.com/job-listings-software-trainee-software-developer-software-tester-quickxpert-infotech-kolkata-hyderabad-secunderabad-pune-ahmedabad-gurgaon-gurugram-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-4-years-200722006881,"c++,software testing,HTML,SQL,java,software training,c,cs",
Graduate Trainee Engineer,Siemens,0-1 Yrs,Bangalore/Bengaluru,https://www.naukri.com/job-listings-graduate-trainee-engineer-siemens-limited-bangalore-bengaluru-0-to-1-years-270223502083,"process automation,training,software development,technology,life cycle,instrumentation,process,consulting",https://img.naukimg.com/logo_images/groups/v1/40604.gif
Backend Engineer,Tiket,0-2 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",https://www.naukri.com/job-listings-backend-engineer-tiket-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-0-to-2-years-270223501426,"software testing,programming,front,mysql,architecture,front end,git,end",
Mainframe Developer,Glosap,0-1 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",https://www.naukri.com/job-listings-mainframe-developer-glosap-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-0-to-1-years-270223500302,"mainframes,development,mainframe production support,Mainframe Developer",
Data Engineer - Remote,Hireright Background Screening India,0-2 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",https://www.naukri.com/job-listings-data-engineer-remote-hireright-international-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-0-to-2-years-250223500715,"ssis,remote,quality,processing,data engineering,process,performance,collections",
UI Developer,Gupshup Technology,0-3 Yrs,"Mumbai, New Delhi, Bangalore/Bengaluru",https://www.naukri.com/job-listings-ui-developer-gupshup-technology-india-private-limited-mumbai-new-delhi-bangalore-bengaluru-0-to-3-years-251122500021,"web application,tools,debugging,ui development,tool design,design,cs,javascript",https://img.naukimg.com/logo_images/groups/v1/4662133.gif
Java Full Stack Developer,Siemens,0-6 Yrs,Bangalore/Bengaluru,https://www.naukri.com/job-listings-java-full-stack-developer-siemens-limited-bangalore-bengaluru-0-to-6-years-240223502604,"html,jsf,full stack,hibernate,stack,maven,dts,javascript",https://img.naukimg.com/logo_images/groups/v1/40604.gif
Staff Engineer,Uber,0-4 Yrs,Bangalore/Bengaluru,https://www.naukri.com/job-listings-staff-engineer-uber-bangalore-bengaluru-0-to-4-years-240223500556,"python,backend,data,data structures,quality,open source,building,software",https://img.naukimg.com/logo_images/groups/v1/1271402.gif
Freshers job opportunity - Fidelity National Financial (FNF),Fidelity National Financial (FNF),0-0 Yrs,Bangalore/Bengaluru,https://www.naukri.com/job-listings-freshers-opportunity-fidelity-national-financial-fnf-fidelity-national-financial-fnf-bangalore-bengaluru-0-to-0-years-210223009765,".Net,finance",https://img.naukimg.com/logo_images/groups/v1/1059274.gif
Software Developer II (C#),Siemens,0-6 Yrs,Bangalore/Bengaluru,https://www.naukri.com/job-listings-software-developer-ii-c-siemens-limited-bangalore-bengaluru-0-to-6-years-200223500720,"consulting,software,computer,technical support,nunit,fxcop,wpf,conceptualization",https://img.naukimg.com/logo_images/groups/v1/40604.gif
Senior Software Developer (C#),Siemens,0-8 Yrs,Bangalore/Bengaluru,https://www.naukri.com/job-listings-senior-software-developer-c-siemens-limited-bangalore-bengaluru-0-to-8-years-200223500717,"nunit,software development,web development,c#,technical support,computer,development,senior",https://img.naukimg.com/logo_images/groups/v1/40604.gif
IT Operations Associate,Conduent,0-3 Yrs,Bangalore/Bengaluru,https://www.naukri.com/job-listings-it-operations-associate-conduent-bangalore-bengaluru-0-to-3-years-200223001767,"application support,Technical Support,ASP.Net,Production Support,SQL,software,it operations,production",https://img.naukimg.com/logo_images/groups/v1/2472988.gif
Technical Lead,BayaTree,0-5 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",https://www.naukri.com/job-listings-technical-lead-bayatree-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-0-to-5-years-240223501760,"mysql,photoshop,sql,php,android,html,wordpress,technical",
Mobile App Development  Android  Virtual Internships,Revolux Solutions,0-1 Yrs,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",https://www.naukri.com/job-listings-mobile-app-development-android-virtual-internships-revolux-solutions-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-0-to-1-years-230223910390,"Android,application,rest,library,json,mobile application development,api,mobile app",
Fresher,Unisys,0-2 Yrs,Bangalore/Bengaluru,https://www.naukri.com/job-listings-fresher-unisys-india-pvt-ltd-bangalore-bengaluru-0-to-2-years-220223502724,"automation testing,coding,automation,management,configuration management,information technology,configuration,quality",https://img.naukimg.com/logo_images/groups/v1/233026.gif
Software Developer - Design and Development,Siemens,0-3 Yrs,Bangalore/Bengaluru,https://www.naukri.com/job-listings-software-developer-design-and-development-siemens-limited-bangalore-bengaluru-0-to-3-years-170223501602,"software development,design,coding,analytics,management,configuration management,design development,configuration",https://img.naukimg.com/logo_images/groups/v1/40604.gif
Python Developer,Siemens,0-5 Yrs,Bangalore/Bengaluru,https://www.naukri.com/job-listings-python-developer-siemens-limited-bangalore-bengaluru-0-to-5-years-170223501584,"technology management,python,technology,communication protocol,object,protocols,automation,analytics",https://img.naukimg.com/logo_images/groups/v1/40604.gif
Front-end Engineer,Uber,0-3 Yrs,Bangalore/Bengaluru,https://www.naukri.com/job-listings-front-end-engineer-uber-bangalore-bengaluru-0-to-3-years-170223501372,"improvement,management,product design,technology management,software solutions,mobile development,monitoring,development",https://img.naukimg.com/logo_images/groups/v1/1271402.gif
Executive,Flipkart,0-1 Yrs,Bangalore/Bengaluru,https://www.naukri.com/job-listings-executive-flipkart-bangalore-bengaluru-0-to-1-years-160223904791,"Change management,jQuery,MySQL,Javascript,Salesforce,process automation,management,change",https://img.naukimg.com/logo_images/groups/v1/533532.gif
Sr. Cybersecurity Engineer,Visa,0-3 Yrs,Bangalore/Bengaluru,https://www.naukri.com/job-listings-sr-cybersecurity-engineer-visa-inc-bangalore-bengaluru-0-to-3-years-150223501315,"python,intelligence,hbase,automation,prototype,artificial intelligence,machine,data",https://img.naukimg.com/logo_images/groups/v1/135342.gif
